date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
09:16:13	71522/71522	---M-Z	200	added ('OK')	text/html	etag:%2211762-670166ac-ac52888087a459c1;gz%22	https://investx-admin-template.multipurposethemes.com/html/template/vertical-light/main/ui_color_utilities.html	E:/Prahlad/Wihout%20SVN/Finance/investx-admin-template.multipurposethemes.com/html/template/vertical-light/main/ui_color_utilities.html	(from https://investx-admin-template.multipurposethemes.com/html/template/vertical-light/main/index.html)
09:16:14	71954/71954	---M-Z	200	added ('OK')	text/html	etag:%2211912-670166ac-10ea004dd6b9e555;gz%22	https://investx-admin-template.multipurposethemes.com/html/template/vertical-light/main/ui_dropdown.html	E:/Prahlad/Wihout%20SVN/Finance/investx-admin-template.multipurposethemes.com/html/template/vertical-light/main/ui_dropdown.html	(from https://investx-admin-template.multipurposethemes.com/html/template/vertical-light/main/index.html)
09:16:14	79844/79844	---M-Z	200	added ('OK')	text/html	etag:%22137e4-670166ac-c33c2c1acd6b8053;gz%22	https://investx-admin-template.multipurposethemes.com/html/template/vertical-light/main/ui_dropdown_grid.html	E:/Prahlad/Wihout%20SVN/Finance/investx-admin-template.multipurposethemes.com/html/template/vertical-light/main/ui_dropdown_grid.html	(from https://investx-admin-template.multipurposethemes.com/html/template/vertical-light/main/index.html)
09:16:14	82227/82227	---M-Z	200	added ('OK')	text/html	etag:%2214133-670166ac-a8ad836c70bdf43c;gz%22	https://investx-admin-template.multipurposethemes.com/html/template/vertical-light/main/ui_progress_bars.html	E:/Prahlad/Wihout%20SVN/Finance/investx-admin-template.multipurposethemes.com/html/template/vertical-light/main/ui_progress_bars.html	(from https://investx-admin-template.multipurposethemes.com/html/template/vertical-light/main/index.html)
09:16:15	102460/102460	---M-Z	200	added ('OK')	text/html	etag:%221903c-670166ac-5eb07929ae6b9920;gz%22	https://investx-admin-template.multipurposethemes.com/html/template/vertical-light/main/icons_glyphicons.html	E:/Prahlad/Wihout%20SVN/Finance/investx-admin-template.multipurposethemes.com/html/template/vertical-light/main/icons_glyphicons.html	(from https://investx-admin-template.multipurposethemes.com/html/template/vertical-light/main/index.html)
09:16:15	188455/188455	---M-Z	200	added ('OK')	text/html	etag:%222e027-670166ac-e18a8b3f2a1f97ca;gz%22	https://investx-admin-template.multipurposethemes.com/html/template/vertical-light/main/icons_fontawesome.html	E:/Prahlad/Wihout%20SVN/Finance/investx-admin-template.multipurposethemes.com/html/template/vertical-light/main/icons_fontawesome.html	(from https://investx-admin-template.multipurposethemes.com/html/template/vertical-light/main/index.html)
09:16:16	247332/247332	---M-Z	200	added ('OK')	text/html	etag:%223c624-670166ac-bf54f132c165d9a3;gz%22	https://investx-admin-template.multipurposethemes.com/html/template/vertical-light/main/icons_material.html	E:/Prahlad/Wihout%20SVN/Finance/investx-admin-template.multipurposethemes.com/html/template/vertical-light/main/icons_material.html	(from https://investx-admin-template.multipurposethemes.com/html/template/vertical-light/main/index.html)
09:16:16	97243/97243	---M-Z	200	added ('OK')	text/html	etag:%2217bdb-670166ac-c314ffc3fcb66c3a;gz%22	https://investx-admin-template.multipurposethemes.com/html/template/vertical-light/main/icons_themify.html	E:/Prahlad/Wihout%20SVN/Finance/investx-admin-template.multipurposethemes.com/html/template/vertical-light/main/icons_themify.html	(from https://investx-admin-template.multipurposethemes.com/html/template/vertical-light/main/index.html)
09:16:16	117462/117462	---M-Z	200	added ('OK')	text/html	etag:%221cad6-670166ac-d568503aa7de856b;gz%22	https://investx-admin-template.multipurposethemes.com/html/template/vertical-light/main/icons_simpleline.html	E:/Prahlad/Wihout%20SVN/Finance/investx-admin-template.multipurposethemes.com/html/template/vertical-light/main/icons_simpleline.html	(from https://investx-admin-template.multipurposethemes.com/html/template/vertical-light/main/index.html)
09:16:17	123154/123154	---M-Z	200	added ('OK')	text/html	etag:%221e112-670166ac-ad4c4f5582668e8a;gz%22	https://investx-admin-template.multipurposethemes.com/html/template/vertical-light/main/icons_cryptocoins.html	E:/Prahlad/Wihout%20SVN/Finance/investx-admin-template.multipurposethemes.com/html/template/vertical-light/main/icons_cryptocoins.html	(from https://investx-admin-template.multipurposethemes.com/html/template/vertical-light/main/index.html)
09:16:17	85023/85023	---M-Z	200	added ('OK')	text/html	etag:%2214c1f-670166ac-8db24610cb29fea;gz%22	https://investx-admin-template.multipurposethemes.com/html/template/vertical-light/main/icons_flag.html	E:/Prahlad/Wihout%20SVN/Finance/investx-admin-template.multipurposethemes.com/html/template/vertical-light/main/icons_flag.html	(from https://investx-admin-template.multipurposethemes.com/html/template/vertical-light/main/index.html)
09:16:17	90213/90213	---M-Z	200	added ('OK')	text/html	etag:%2216065-670166ac-d1376b1b84ac6c18;gz%22	https://investx-admin-template.multipurposethemes.com/html/template/vertical-light/main/icons_weather.html	E:/Prahlad/Wihout%20SVN/Finance/investx-admin-template.multipurposethemes.com/html/template/vertical-light/main/icons_weather.html	(from https://investx-admin-template.multipurposethemes.com/html/template/vertical-light/main/index.html)
09:16:18	69770/69770	---M-Z	200	added ('OK')	text/html	etag:%221108a-670166ac-5e68a7487c86566b;gz%22	https://investx-admin-template.multipurposethemes.com/html/template/vertical-light/main/ui_ribbons.html	E:/Prahlad/Wihout%20SVN/Finance/investx-admin-template.multipurposethemes.com/html/template/vertical-light/main/ui_ribbons.html	(from https://investx-admin-template.multipurposethemes.com/html/template/vertical-light/main/index.html)
